"time","pred_pop","prey_pop"
0,10,10
0.002,9.996,9.998
0.004,9.992,9.996
0.006,9.988,9.99401
0.008,9.98401,9.99202
0.01,9.98001,9.99002
0.012,9.97601,9.98804
0.014,9.97202,9.98605
0.016,9.96803,9.98406
0.018,9.96403,9.98208
0.02,9.96004,9.9801
0.022,9.95605,9.97812
0.024,9.95206,9.97614
0.026,9.94807,9.97417
0.028,9.94408,9.9722
0.03,9.94009,9.97022
0.032,9.9361,9.96825
0.034,9.93212,9.96629
0.036,9.92813,9.96432
0.038,9.92415,9.96236
0.04,9.92016,9.9604
0.042,9.91618,9.95844
0.044,9.9122,9.95648
0.046,9.90821,9.95453
0.048,9.90423,9.95257
0.05,9.90025,9.95062
0.052,9.89627,9.94867
0.054,9.8923,9.94672
0.056,9.88832,9.94478
0.058,9.88434,9.94283
0.06,9.88037,9.94089
0.062,9.87639,9.93895
0.064,9.87242,9.93702
0.066,9.86844,9.93508
0.068,9.86447,9.93315
0.07,9.8605,9.93121
0.072,9.85653,9.92928
0.074,9.85256,9.92736
0.076,9.84859,9.92543
0.078,9.84462,9.92351
0.08,9.84065,9.92158
0.082,9.83669,9.91966
0.084,9.83272,9.91774
0.086,9.82876,9.91583
0.088,9.82479,9.91391
0.09,9.82083,9.912
0.092,9.81687,9.91009
0.094,9.81291,9.90818
0.096,9.80894,9.90628
0.098,9.80498,9.90437
0.1,9.80103,9.90247
0.102,9.79707,9.90057
0.104,9.79311,9.89867
0.106,9.78915,9.89677
0.108,9.7852,9.89488
0.11,9.78124,9.89298
0.112,9.77729,9.89109
0.114,9.77334,9.8892
0.116,9.76938,9.88732
0.118,9.76543,9.88543
0.12,9.76148,9.88355
0.122,9.75753,9.88167
0.124,9.75358,9.87979
0.126,9.74964,9.87791
0.128,9.74569,9.87603
0.13,9.74174,9.87416
0.132,9.7378,9.87229
0.134,9.73385,9.87042
0.136,9.72991,9.86855
0.138,9.72597,9.86668
0.14,9.72203,9.86482
0.142,9.71809,9.86295
0.144,9.71415,9.86109
0.146,9.71021,9.85924
0.148,9.70627,9.85738
0.15,9.70233,9.85552
0.152,9.69839,9.85367
0.154,9.69446,9.85182
0.156,9.69052,9.84997
0.158,9.68659,9.84812
0.16,9.68266,9.84628
0.162,9.67873,9.84444
0.164,9.67479,9.84259
0.166,9.67086,9.84075
0.168,9.66693,9.83892
0.17,9.66301,9.83708
0.172,9.65908,9.83525
0.174,9.65515,9.83341
0.176,9.65123,9.83158
0.178,9.6473,9.82976
0.18,9.64338,9.82793
0.182,9.63945,9.82611
0.184,9.63553,9.82428
0.186,9.63161,9.82246
0.188,9.62769,9.82064
0.19,9.62377,9.81883
0.192,9.61985,9.81701
0.194,9.61593,9.8152
0.196,9.61202,9.81339
0.198,9.6081,9.81158
0.2,9.60418,9.80977
0.202,9.60027,9.80796
0.204,9.59636,9.80616
0.206,9.59244,9.80436
0.208,9.58853,9.80256
0.21,9.58462,9.80076
0.212,9.58071,9.79896
0.214,9.5768,9.79717
0.216,9.5729,9.79538
0.218,9.56899,9.79358
0.22,9.56508,9.7918
0.222,9.56118,9.79001
0.224,9.55727,9.78822
0.226,9.55337,9.78644
0.228,9.54947,9.78466
0.23,9.54556,9.78288
0.232,9.54166,9.7811
0.234,9.53776,9.77932
0.236,9.53387,9.77755
0.238,9.52997,9.77578
0.24,9.52607,9.77401
0.242,9.52217,9.77224
0.244,9.51828,9.77047
0.246,9.51439,9.76871
0.248,9.51049,9.76694
0.25,9.5066,9.76518
0.252,9.50271,9.76342
0.254,9.49882,9.76167
0.256,9.49493,9.75991
0.258,9.49104,9.75816
0.26,9.48715,9.7564
0.262,9.48326,9.75465
0.264,9.47938,9.75291
0.266,9.47549,9.75116
0.268,9.47161,9.74941
0.27,9.46773,9.74767
0.272,9.46384,9.74593
0.274,9.45996,9.74419
0.276,9.45608,9.74245
0.278,9.4522,9.74072
0.28,9.44832,9.73899
0.282,9.44445,9.73725
0.284,9.44057,9.73552
0.286,9.43669,9.73379
0.288,9.43282,9.73207
0.29,9.42895,9.73034
0.292,9.42507,9.72862
0.294,9.4212,9.7269
0.296,9.41733,9.72518
0.298,9.41346,9.72346
0.3,9.40959,9.72175
0.302,9.40572,9.72003
0.304,9.40186,9.71832
0.306,9.39799,9.71661
0.308,9.39412,9.7149
0.31,9.39026,9.7132
0.312,9.3864,9.71149
0.314,9.38253,9.70979
0.316,9.37867,9.70809
0.318,9.37481,9.70639
0.32,9.37095,9.70469
0.322,9.36709,9.70299
0.324,9.36324,9.7013
0.326,9.35938,9.69961
0.328,9.35552,9.69792
0.33,9.35167,9.69623
0.332,9.34782,9.69454
0.334,9.34396,9.69286
0.336,9.34011,9.69117
0.338,9.33626,9.68949
0.34,9.33241,9.68781
0.342,9.32856,9.68613
0.344,9.32471,9.68446
0.346,9.32087,9.68278
0.348,9.31702,9.68111
0.35,9.31317,9.67944
0.352,9.30933,9.67777
0.354,9.30549,9.6761
0.356,9.30164,9.67444
0.358,9.2978,9.67278
0.36,9.29396,9.67111
0.362,9.29012,9.66945
0.364,9.28629,9.66779
0.366,9.28245,9.66614
0.368,9.27861,9.66448
0.37,9.27478,9.66283
0.372,9.27094,9.66118
0.374,9.26711,9.65953
0.376,9.26327,9.65788
0.378,9.25944,9.65624
0.38,9.25561,9.65459
0.382,9.25178,9.65295
0.384,9.24795,9.65131
0.386,9.24413,9.64967
0.388,9.2403,9.64803
0.39,9.23647,9.6464
0.392,9.23265,9.64476
0.394,9.22883,9.64313
0.396,9.225,9.6415
0.398,9.22118,9.63987
0.4,9.21736,9.63824
0.402,9.21354,9.63662
0.404,9.20972,9.635
0.406,9.2059,9.63337
0.408,9.20209,9.63176
0.41,9.19827,9.63014
0.412,9.19446,9.62852
0.414,9.19064,9.62691
0.416,9.18683,9.62529
0.418,9.18302,9.62368
0.42,9.17921,9.62207
